tweet_id,user,text,created_at
T8000,user3,Amei o produto!! 😍 #satisfeito,2024-11-24 16:53:42
T8001,user28,Amei o produto!! 😍 #satisfeito,2023-10-03 16:53:42
T8002,user20,Amei o produto!!  #satisfeito,2025-09-27 16:53:42
T8003,user23,amei o produto!! 😍 #Satisfeito,2025-05-28 16:53:42
T8004,user41,,2025-11-06 16:53:42
T8005,user27,,2025-04-13 16:53:42
T8006,user27,"Nao recomendo, chegou atrasado... :(",2024-08-09 16:53:42
T8007,user16,??????,2025-08-22 16:53:42
T8008,user17,Comprei na promoção — desconto 50%!!!,2023-06-28 16:53:42
T8009,user1,"   Produto top, recomendo   ",2025-02-01 16:53:42
T8010,user25,achei ok,2024-04-11 16:53:42
T8011,user42,"Produto top, recomendo",2025-06-03 16:53:42
T8012,user9,Prefiro outra marca; muito caro.,2025-04-17 16:53:42
T8013,user42,Comprei na promoção — desconto 50%!!!,2024-03-20 16:53:42
T8014,user17,achei ok,2025-10-02 16:53:42
T8015,user11,,2023-12-31 16:53:42
T8016,user28,meu pedido veio errado :/,2023-07-16 16:53:42
T8017,user18,"produto devolvido, atendimento não resolveu",2024-10-18 16:53:42
T8018,user24,Envio internacional? alguém sabe?,2025-01-11 16:53:42
T8019,user16,Comprei na promoção — desconto 50%!!!,2023-07-12 16:53:42
T8020,user44,Comprei na promoção — desconto 50%!!!,2024-12-11 16:53:42
T8021,user39,Excelente qualidade!!!,2024-09-08 16:53:42
T8022,user6,achei ok,2023-08-15 16:53:42
T8023,user34,Prefiro outra marca; muito caro.,2024-04-24 16:53:42
T8024,user49,"Ótimo atendimento, comprei de novo",2024-06-03 16:53:42
T8025,user22,,2023-10-01 16:53:42
T8026,user13,achei ok,2025-02-16 16:53:42
T8027,user12,Péssimo. Não funciona. #falha,2024-11-30 16:53:42
T8028,user4,,2023-08-25 16:53:42
T8029,user10,"Produto top, recomendo",2024-03-04 16:53:42
T8030,user47,Amei o produto!! 😍 #satisfeito,2023-06-17 16:53:42
T8031,user25,"Nao recomendo, chegou atrasado... :(",2024-02-18 16:53:42
T8032,user11,   Envio internacional? alguém sabe?   ,2024-02-23 16:53:42
T8033,user2,"Nao recomendo, chegou atrasado... :(",2025-11-17 16:53:42
T8034,user19,"A loja é ótima, preço justo",2024-05-11 16:53:42
T8035,user49,meu pedido veio errado :/,2024-07-22 16:53:42
T8036,user35,"produto devolvido, atendimento não resolveu",2024-12-19 16:53:42
T8037,user1,Fabricado em 2020. parece novo,2024-08-10 16:53:42
T8038,user41,"produto devolvido, atendimento não resolveu",2023-09-24 16:53:42
T8039,user8,"produto devolvido, atendimento não resolveu",2024-01-08 16:53:42
T8040,user40,achei ok,2023-12-31 16:53:42
T8041,user37,"A loja é ótima, preço justo",2023-12-22 16:53:42
T8042,user27,Muito bom! 👌👌,2025-03-21 16:53:42
T8043,user17,Amei o produto!! 😍 #satisfeito,2025-04-04 16:53:42
T8044,user10,Não chegou até hoje.,2025-09-03 16:53:42
